Workload1,Workload2,workload_online,workload_offline,Thread_combination,weight_Throughput_sum,Power,Duration,Energy,selected_model_freq,online_smact,estimated_offline_smact,estimated_offline_partition,ThreadCombination_online_offline,Weighted_Thruput_Online_Offline,estimated_best_partition_throughput,actual_best_partition_throughput,estimated_to_actual_ratio,w1_optimal_percentage,w2_optimal_percentage
reductionMultiBlockCG_batch2-cuda_samples,resnet-50_batch2-train,reductionMultiBlockCG_batch2-cuda_samples,resnet-50_batch2-train,"(w1_90, w2_10)",565.4939999999999,96.03655737704918,122.041,11739.577240000002,freq900,91.6794392523365,8.320560747663507,10,"(online_90, offline_10)",565.4939999999999,565.4939999999999,565.4939999999999,1.0,90,10
reductionMultiBlockCG_batch2-cuda_samples,resnet-50_batch2-inf,resnet-50_batch2-inf,reductionMultiBlockCG_batch2-cuda_samples,"(w1_90, w2_10)",602.402,98.09991341991342,115.513,11352.59582,freq900,14.847872340425532,85.15212765957446,90,"(online_10, offline_90)",602.402,602.402,602.402,1.0,90,10
reductionMultiBlockCG_batch2-cuda_samples,vit_h_14_batch2-train,reductionMultiBlockCG_batch2-cuda_samples,vit_h_14_batch2-train,"(w1_90, w2_10)",498.117,96.03220077220077,129.559,12461.88553,freq900,91.6794392523365,8.320560747663507,10,"(online_90, offline_10)",498.117,498.117,498.117,1.0,90,10
transpose_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,transpose_batch2-cuda_samples,"(w1_20, w2_80)",96.193,93.8127192982456,859.088,80612.09375,freq900,82.68936170212766,17.310638297872345,20,"(online_80, offline_20)",96.193,96.193,438.805,0.21921582479689156,20,80
transpose_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,transpose_batch2-cuda_samples,"(w1_60, w2_40)",320.769,95.9283736263736,228.12,21903.08227,freq900,44.15744680851064,55.84255319148936,60,"(online_40, offline_60)",320.769,320.769,472.611,0.6787167459073107,60,40
resnet-50_batch2-train,transpose_batch2-cuda_samples,resnet-50_batch2-train,transpose_batch2-cuda_samples,"(w1_20, w2_80)",479.694,98.07182724252492,150.675,14793.6332,freq900,20.560416666666665,79.43958333333333,80,"(online_20, offline_80)",479.694,479.694,479.694,1.0,20,80
resnet-50_batch2-train,sortingNetworks_batch2-cuda_samples,resnet-50_batch2-train,sortingNetworks_batch2-cuda_samples,"(w1_20, w2_80)",130.144,96.14314878892736,144.63,13922.514190000002,freq900,20.560416666666665,79.43958333333333,80,"(online_20, offline_80)",130.144,130.144,133.684,0.9735196433380211,20,80
sortingNetworks_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,sortingNetworks_batch2-cuda_samples,"(w1_60, w2_40)",92.974,94.5928813559322,206.855,19586.13412,freq900,44.15744680851064,55.84255319148936,60,"(online_40, offline_60)",92.974,92.974,103.484,0.8984384059371497,60,40
fastWalshTransform_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,fastWalshTransform_batch2-cuda_samples,"(w1_20, w2_80)",38.102,96.2120523138833,498.818,48012.371060000005,freq900,82.68936170212766,17.310638297872345,20,"(online_80, offline_20)",38.102,38.102,73.08800000000001,0.5213167688266198,20,80
fastWalshTransform_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,fastWalshTransform_batch2-cuda_samples,"(w1_60, w2_40)",83.17500000000001,96.55677710843374,166.121,16060.394090000002,freq900,44.15744680851064,55.84255319148936,60,"(online_40, offline_60)",83.17500000000001,83.17500000000001,86.135,0.9656353398734545,60,40
