workload1,workload2,freq1,freq2,iterations,w1_proposal_percentage,w2_proposal_percentage,w1_fair_percentage,w2_fair_percentage,w1_optimal_percentage,w2_optimal_percentage,total_throughput_at_selected,w1_throughput_at_selected,w2_throughput_at_selected,w1_arrival,w2_arrival,w1_change_factor,w2_change_factor,w1_residual_selected,w2_residual_selected
bert-base-cased_batch2-inf,mobilenet_batch2-train,300.0,300.0,2,90.0,39.50878821735762,69.49335349269958,30.506646507300417,70.0,30.0,51.14,11.363,39.777,15.597551237689649,52.38470229739446,0.37266137795385457,0.3169596072452538,-4.234551237689649,-12.60770229739446
bert-base-cased_batch2-inf,mobilenet_v2_1.0_224_batch2-inf,300.0,300.0,2,90.0,37.7233552033188,70.46479467810083,29.535205321899177,70.0,30.0,76.165,11.328,64.837,15.597551237689649,81.52897271058606,0.3769024750785354,0.25744517344396034,-4.269551237689649,-16.691972710586057
bert-base-cased_batch2-inf,reductionMultiBlockCG_batch2-cuda_samples,300.0,300.0,2,90.0,40.0,69.23076923076924,30.76923076923077,70.0,30.0,66.816,11.313,55.503,15.597551237689649,177.77344,0.3787281214257622,2.2029519125092336,-4.284551237689648,-122.27044
bert-base-cased_batch2-inf,resnet-50_batch2-inf,300.0,300.0,2,90.0,40.0,69.23076923076924,30.76923076923077,70.0,30.0,42.582,11.469,31.113,15.597551237689649,52.67105010726058,0.3599748223637326,0.6928952562356757,-4.128551237689649,-21.558050107260577
bert-base-cased_batch2-inf,resnet-50_batch2-train,300.0,300.0,2,90.0,40.0,69.23076923076924,30.76923076923077,70.0,30.0,29.167,11.199,17.968,15.597551237689649,30.013618896435663,0.3927628571916822,0.6703928593296785,-4.398551237689649,-12.045618896435663
bert-base-cased_batch2-inf,sortingNetworks_batch2-cuda_samples,300.0,300.0,2,90.0,70.0,56.25,43.75,60.0,40.0,23.469,9.552,13.917,15.597551237689649,30.024213075060533,0.6329094679323335,1.157376810739422,-6.045551237689649,-16.107213075060535
bert-base-cased_batch2-inf,transpose_batch2-cuda_samples,300.0,300.0,2,90.0,50.0,64.28571428571429,35.714285714285715,60.0,40.0,73.70500000000001,9.576,64.129,15.597551237689649,137.4448,0.6288169630001721,1.1432550016373244,-6.021551237689648,-73.31579999999998
bert-base-cased_batch2-inf,vit-base-patch16-224_batch2-inf,300.0,300.0,2,90.0,50.0,64.28571428571429,35.714285714285715,60.0,40.0,24.839,10.039,14.8,15.597551237689649,28.79960639952206,0.5536957104980226,0.9459193513190579,-5.558551237689649,-13.999606399522058
bert-base-cased_batch2-inf,vit_h_14_batch2-train,300.0,300.0,2,90.0,80.0,52.94117647058824,47.05882352941177,50.0,50.0,8.764,8.049,0.715,15.597551237689649,1.3865983171738605,0.9378247282506709,0.9392983456977071,-7.548551237689649,-0.6715983171738605
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch2-inf,300.0,300.0,2,90.0,80.0,52.94117647058824,47.05882352941177,50.0,50.0,13.535999999999998,8.274,5.262,15.597551237689649,9.683122051755843,0.8851282617463924,0.8401980334009586,-7.323551237689649,-4.421122051755844
bert-base-cased_batch2-inf,whisper-large-v2_batch2-inf,300.0,300.0,2,90.0,60.0,60.0,40.0,60.0,40.0,10.227,9.972,0.255,15.597551237689649,0.638458413140635,0.5641347009315734,1.503758482904451,-5.625551237689649,-0.383458413140635
bert-base-cased_batch2-train,bert-base-cased_batch2-train,300.0,300.0,2,60.0,60.0,50.0,50.0,50.0,50.0,5.078,2.539,2.539,4.641879871038824,4.641879871038824,0.8282315364469568,0.8282315364469568,-2.1028798710388235,-2.1028798710388235
bert-base-cased_batch2-train,cudaTensorCoreGemm_batch2-cuda_samples,300.0,300.0,2,60.0,80.0,42.85714285714286,57.142857142857146,40.0,60.0,29.899,2.075,27.824,4.641879871038824,49.26108374384236,1.2370505402596739,0.7704529810179112,-2.5668798710388234,-21.43708374384236
bert-base-cased_batch2-train,fastWalshTransform_batch2-cuda_samples,300.0,300.0,2,60.0,60.0,50.0,50.0,50.0,50.0,16.968,2.412,14.556,4.641879871038824,25.884299,0.9244941422217345,0.7782563204176972,-2.2298798710388237,-11.328299
bert-base-cased_batch2-train,mobilenet_batch2-train,300.0,300.0,2,60.0,40.0,60.0,40.0,60.0,40.0,46.059000000000005,3.063,42.996,4.641879871038824,52.38470229739446,0.5154684528367037,0.21836222665816493,-1.5788798710388234,-9.38870229739446
bert-base-cased_batch2-train,mobilenet_v2_1.0_224_batch2-inf,300.0,300.0,2,60.0,40.0,60.0,40.0,60.0,40.0,72.592,3.11,69.482,4.641879871038824,81.52897271058606,0.4925658749320977,0.17338264169980802,-1.5318798710388237,-12.046972710586061
bert-base-cased_batch2-train,reductionMultiBlockCG_batch2-cuda_samples,300.0,300.0,2,60.0,40.0,60.0,40.0,60.0,40.0,73.038,3.005,70.033,4.641879871038824,177.77344,0.5447187590811393,1.5384238858823696,-1.6368798710388237,-107.74043999999999
bert-base-cased_batch2-train,resnet-50_batch2-inf,300.0,300.0,2,60.0,40.0,60.0,40.0,60.0,40.0,42.304,3.099,39.205,4.641879871038824,52.67105010726058,0.4978637854271776,0.34347787545620656,-1.5428798710388234,-13.466050107260578
bert-base-cased_batch2-train,resnet-50_batch2-train,300.0,300.0,2,60.0,40.0,60.0,40.0,60.0,40.0,24.201,3.02,21.181,4.641879871038824,30.013618896435663,0.5370463149135177,0.417006699232126,-1.6218798710388236,-8.832618896435662
bert-base-cased_batch2-train,sortingNetworks_batch2-cuda_samples,300.0,300.0,2,60.0,70.0,46.15384615384615,53.84615384615385,50.0,50.0,19.413,2.473,16.94,4.641879871038824,30.024213075060533,0.8770238055150925,0.7723856596848011,-2.1688798710388237,-13.084213075060532
bert-base-cased_batch2-train,transpose_batch2-cuda_samples,300.0,300.0,2,60.0,50.0,54.54545454545455,45.45454545454545,50.0,50.0,79.00500000000001,2.477,76.528,4.641879871038824,137.4448,0.8739926810814791,0.7960066903616974,-2.1648798710388237,-60.91679999999998
bert-base-cased_batch2-train,vit-base-patch16-224_batch2-inf,300.0,300.0,2,60.0,50.0,54.54545454545455,45.45454545454545,50.0,50.0,20.558,2.577,17.981,4.641879871038824,28.79960639952206,0.8012727477837888,0.6016687836895643,-2.0648798710388236,-10.818606399522057
bert-base-cased_batch2-train,vit_h_14_batch2-train,300.0,300.0,2,60.0,80.0,42.85714285714286,57.142857142857146,40.0,60.0,2.933,2.072,0.861,4.641879871038824,1.3865983171738605,1.2402895130496252,0.6104510071705698,-2.5698798710388235,-0.5255983171738605
bert-base-cased_batch2-train,wav2vec2-base-960h_batch2-inf,300.0,300.0,2,60.0,80.0,42.85714285714286,57.142857142857146,40.0,60.0,8.323,2.094,6.229,4.641879871038824,9.683122051755843,1.2167525649660096,0.5545227246357108,-2.5478798710388237,-3.454122051755843
